prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
GOLFE,Zone 7,cité renaissance,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,lomé ii,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,sito aéroport,1.0E8,600.0,166667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,agoènyivé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,anomé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,vakpossito,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,téléssou,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,démakpoè,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,sogbossito,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,fiovi,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,nyivémé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,kididjan,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,atchanvé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,agoè assiyéyé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,logopé,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,anokoui,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 1: Urbaine,adétikopé zone urbaine,1.0E7,600.0,16667.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,sanguera 2,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,amédenta,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,konhé,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,zopomahé,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,zossimé,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,daliko,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,légbassito,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,madjikpéto,5000000.0,600.0,8333.0,ValeursVenales
