source,id,nuo,titre,usage,offre,categorie,ville,quartier,piece,surface,garage,cout_mensuel,cout_vente,nuitee
ImmoAsk,1497,5438,"terrain,vendre,lome,kegue",Acquisition,vendre,Terrain,Lome,Kegue,0,750.0,0,0,55000000,0
ImmoAsk,1496,5437,"villa meublée,vendre,lome,zanguera",Sejour,vendre,Villa meublée,Lome,Zanguera,3,600.0,2,0,550000000,0
ImmoAsk,1495,5436,"chambre,louer,lome,totsi egblinkome",Logement,louer,Chambre,Lome,Totsi,0,10.0,2,0,0,0
ImmoAsk,1494,5435,"2 chambres salon,louer,1,nukafu",Logement,louer,2 chambres salon,Lome,Nukafu,0,60.0,0,100000,0,0
ImmoAsk,1493,5434,"3 chambres salon,louer,lome,kegue",Logement,louer,3 chambres salon,Lome,Kegue,0,120.0,0,250000,0,0
ImmoAsk,1492,5433,"villa,vendre,lome,forever",Acquisition,vendre,Villa,Lome,Tokoin,5,10.0,3,0,250000000,0
ImmoAsk,1491,5432,"chambre,louer,lome,zanguera",Logement,louer,Chambre,Lome,Zanguera,1,16.0,2,30000,0,0
ImmoAsk,1490,5431,"2 chambres salon,louer,lome,tokoin ",Logement,louer,2 chambres salon,Lome,Tokoin,0,80.0,0,35000,0,0
ImmoAsk,1489,5430,"chambre salon,louer,lome,adidogome atilamonou",Logement,louer,Chambre salon,Lome,Adidogome,0,25.0,0,45000,0,0
ImmoAsk,1488,5429,"2 chambres salon,louer,lome,adidogome kohe",Logement,louer,2 chambres salon,Lome,Adidogome,0,50.0,0,70000,0,0
ImmoAsk,1487,5428,"3 chambres salon,louer,lome,kegue",Logement,louer,3 chambres salon,Lome,Kegue,0,80.0,0,150000,0,0
ImmoAsk,1486,5427,"chambre salon,louer,lome,kegue",Logement,louer,Chambre salon,Lome,Kegue,0,20.0,0,60000,0,0
ImmoAsk,1485,5426,"villa meublée,louer,lome,avenou",Sejour,louer,Villa meublée,Lome,Avenou,0,120.0,0,2000000,0,0
ImmoAsk,1484,5425,"villa meublée,louer,lome,avenou",Sejour,louer,Villa meublée,Lome,Avenou,0,120.0,0,2000000,0,0
ImmoAsk,1483,5424,"studio meublé,louer,lome,agoe",Sejour,louer,Studio,Lome,Agoe,1,80.0,1,150000,0,0
ImmoAsk,1482,5423,"maison,vendre,lome,agoe ",Acquisition,vendre,Maison,Lome,Agoe,3,10.0,1,0,35000000,0
ImmoAsk,1481,5422,"appartement meublé,louer,lome,tokoin",Sejour,louer,Appartement meublé,Lome,Tokoin,2,80.0,1,450000,0,0
ImmoAsk,1480,5421,"appartement meublé,louer,lome,agbalepedo",Sejour,louer,Appartement meublé,Lome,Agbalépédo,0,25.0,0,400000,0,0
ImmoAsk,1479,5420,"villa meublée,louer,lome,hedzranawoe ",Sejour,louer,Villa meublée,Lome,Hédzranawoe,0,300.0,0,500000,0,0
ImmoAsk,1478,5419,"appartement meublé,louer,lome,adidoadin ",Sejour,louer,Appartement meublé,Lome,Adidoadin ,0,250.0,0,500000,0,0
ImmoAsk,1477,5418,"appartement meublé,louer,1,adidoadin ",Sejour,louer,Appartement meublé,Lome,Adidoadin ,0,250.0,0,500000,0,0
ImmoAsk,1476,5417,"appartement meublé,louer,lome,agoe ",Sejour,louer,Appartement meublé,Lome,Agoe,0,25.0,0,200000,0,0
ImmoAsk,1475,5416,"appartement meublé,louer,lome,avedji limousine",Sejour,louer,Appartement meublé,Lome,Adidogome,0,300.0,0,550000,0,0
ImmoAsk,1474,5415,"appartement meublé,louer,lome,amadahome ",Sejour,louer,Appartement meublé,Lome,Adidogome,0,25.0,0,350000,0,0
ImmoAsk,1473,5414,"appartement meublé,louer,lome,amandahome ",Sejour,louer,Appartement meublé,Lome,Adidogome,0,300.0,0,700000,0,0
ImmoAsk,1472,5413,"villa,vendre,lome,agoe ",Acquisition,vendre,Appartement meublé,Lome,Agoe,0,1200.0,0,0,155000000,0
ImmoAsk,1471,5412,"villa,vendre,lome,adidogome akato ",Acquisition,vendre,Villa,Lome,Adidogome,0,300.0,0,0,65000000,0
ImmoAsk,1470,5411,"studio meublé,louer,lome,agoe ",Sejour,louer,Appartement meublé,Lome,Agoe,0,16.0,0,170000,0,0
ImmoAsk,1469,5410,"maison,vendre,lome,tokoin hopital",Acquisition,vendre,Maison,Lome,Tokoin,0,392.0,0,0,70000000,0
ImmoAsk,1468,5409,"studio meublé,louer,lome,avedji ",Sejour,louer,Appartement meublé,Lome,Avedji,0,20.0,0,200000,0,0
ImmoAsk,1467,5408,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1466,5407,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1465,5406,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1464,5405,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1463,5404,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1462,5403,"terrain,vendre,kpalime,avetonou",Acquisition,vendre,Terrain,Kpalime,Avetonou,0,10000.0,0,0,550000,0
ImmoAsk,1461,5402,"appartement meublé,louer,lome,be gbenyedzi",Sejour,louer,Appartement meublé,Lome,Bè,0,120.0,0,400000,0,0
ImmoAsk,1460,5401,"appartement meublé,louer,lome,atiegou",Sejour,louer,Appartement meublé,Lome,Attiégou,1,80.0,1,200000,0,0
ImmoAsk,1459,5400,"appartement meublé,louer,lome,be gbenyedzi ",Sejour,louer,Appartement meublé,Lome,Bè,2,100.0,2,0,0,0
ImmoAsk,1458,5399,"villa,vendre,lome,segbe",Acquisition,vendre,Villa,Lome,Segbe,0,300.0,0,0,30000000,0
ImmoAsk,1457,5398,"villa,louer,lome,totsi ",Logement,louer,Villa,Lome,Totsi,0,300.0,0,300000,0,0
ImmoAsk,1456,5397,"villa,louer,lome,totsi",Logement,louer,Villa,Lome,Totsi,0,300.0,0,300000,0,0
ImmoAsk,1455,5396,"villa,louer,lome,totsi",Logement,louer,Villa,Lome,Totsi,0,300.0,0,300000,0,0
ImmoAsk,1454,5395,"villa,louer,lome,leo 2000",Logement,louer,Villa,Lome,Leo 2000,3,150.0,2,230000,0,0
