Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source
TOGO IMMOBILIER,Parcelle – Agoé Ahonkpoè,VENTE,TERRAIN,ahonkpoe,1.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelles à Badja - Honvé à Lomé - Kpalime,VENTE,TERRAIN,kpalime,1600000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Patcelle - Agoe Assiyeye,VENTE,TERRAIN,agoe assiyeye,5.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
Facebook Marketplace,TERRAIN À VENDRE ADAKPAMÉ-LOMÉ,Vente,Terrain,adakpame,1500000.0,Non spécifié,87.5,CoinAfrique,coinafrique
Facebook Marketplace,TERRAIN À VENDRE CENTRE VILLE LOMÉ ZONGO,Vente,Terrain,zongo,750000.0,Non spécifié,43.75,CoinAfrique,coinafrique
Facebook Marketplace,TERRAIN À VENDRE DJAGBLÉ - LÉBÉ,Vente,Terrain,be,9000000.0,Non spécifié,350.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 01 lot - agoe minamadou,VENTE,TERRAIN,agoe minamadou,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 01 lot Agoe Légbassito,VENTE,TERRAIN,legbassito,2.7E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 01 lot à Kpogan,VENTE,TERRAIN,kpogan,2.6E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 02 lots adidogomé amandahomé ipg,VENTE,TERRAIN,adidogome,9.0E7,Non spécifié,1200.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 06 lots zanguéra aképédo,VENTE,TERRAIN,zanguera,1.0E7,Non spécifié,3600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 1 lot et ⅓ à Kégué,VENTE,TERRAIN,kegue,6.0E7,Non spécifié,800.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 1/2 lot à Totsi,VENTE,TERRAIN,totsi,7.0E7,Non spécifié,300.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 1/4 lot - Agoe assiyéyé main de dieu,VENTE,TERRAIN,assiyeye,1.3E7,Non spécifié,150.0,CoinAfrique,coinafrique
