titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
"chambre,louer,lome,hedzranawoe",LOCATION,Chambre,hédzranawoe,30000,1.0,25.0,immoask
"terrain,vendre,lome,sagbado",VENTE,Terrain,sagbado,11000000,2.0,300.0,immoask
"appartement meublé,louer,lome,adewi",LOCATION,Appartement,adewui,410000,2.0,100.0,immoask
"appartement meublé,louer,lome,atilamonou",LOCATION,Appartement,adidogome,180000,2.0,120.0,immoask
"appartement meublé,louer,lome, adewi",LOCATION,Appartement,adewui,310000,1.0,110.0,immoask
"studio meublé,louer,lome,adewi",LOCATION,Studio,adewui,210000,1.0,90.0,immoask
"magasin,louer,lome,hedzranawoe",LOCATION,Magasin,hédzranawoe,350000,1.0,300.0,immoask
"appartement meublé,louer,lome,nyekonakpoe",LOCATION,Appartement,nyékonakpoè,1000000,3.0,156.0,immoask
"immeuble,vendre,lome,adewui",VENTE,Immeuble,adewui,100000000,2.0,680.0,immoask
"terrain,vendre,lome,akepe",VENTE,Terrain,akepe,5500000,2.0,600.0,immoask
"terrain,vendre,lome,akepe",VENTE,Terrain,akepe,6500000,2.0,600.0,immoask
"appartement meublé,louer,lome,adewi",LOCATION,Appartement,adewui,450000,2.0,130.0,immoask
"villa,louer,lome,ave maria",LOCATION,Villa,adidogome,120000,2.0,70.0,immoask
"terrain,vendre,lome,adidogome",VENTE,Terrain,adidogome,15500000,2.0,300.0,immoask
"chambre salon,louer,lome,soviepe",LOCATION,Chambre Salon,adidogome,25000,1.0,15.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,500000,3.0,250.0,immoask
"appartement,louer,lome,adidogome",LOCATION,Appartement,adidogome,120000,2.0,100.0,immoask
"terrain,vendre,lome,non loin de t-oil leo 2000",VENTE,Terrain,agoe,40000000,2.0,740.0,immoask
"appartement,louer,lome,adidogome",LOCATION,Appartement,adidogome,180000,3.0,120.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,600000,3.0,250.0,immoask
"chambre salon,louer,lome,adewi",LOCATION,Chambre Salon,adewui,200000,1.0,60.0,immoask
"villa,louer,lome,adidogome",LOCATION,Villa,adidogome,80000,3.0,70.0,immoask
