prefecture,zone_admin,Type d'offre,Type de bien,zone,prix,surface_m2,prix_m2_officiel,source
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,nyiveme,5000000,600,8333,valeursvenales
KLOTO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
KLOTO,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,200000,10000,20,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,notse,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,avizouha,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,atiterome,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,sabakome,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,adjigo,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,zongo,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,nawolo,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,agbaladome,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,kpedome,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,kpota,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,ekli,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,tegbe,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,adime,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,tako,4000000,600,6667,valeursvenales
HAHO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
HAHO,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,200000,10000,20,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,paix,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,kpandio,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,meteo,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,watchalo,2000000,600,3333,valeursvenales
