Préfecture,Zone,Type d'offre,Type de bien,Quartier,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),source
GOLFE,ZONE 7,VENTE,TERRAIN,RESIDENCE DE LA BCEAO,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,BAIE DES ANGES,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,CITE MILLENIUM,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,CITE RENAISSANCE,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,LOME II,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,SITO AEROPORT,100000000,600,166667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,AGOENYIVE,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,ANOME,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,VAKPOSSITO,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,TELESSOU,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,DEMAKPOE,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,SOGBOSSITO,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,FIOVI,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,NYIVEME,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,KIDIDJAN,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,ATCHANVE,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,AGOE ASSIYEYE,10000000,600,16667,valeursvenales
