Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,id,nuo,usage,categorie,garage,cout_mensuel,cout_vente,nuitee,Préfecture,Zone,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),date_annonce,annee,trimestre,periode
COIN D'AFRIQUE,Location appartement haut standing meublée de 02 pièces à Totsi,LOCATION,APPARTEMENT MEUBLE,TOTSI,600000.0,2.0,32.0,300000.0,18750.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,location appartements meublés 2 pièces - Hedranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,550000.0,2.0,32.0,275000.0,17188.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 03 pièces - Djidjolé,LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,550000.0,3.0,48.0,183333.0,11458.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 3 pièces - Totsi,LOCATION,APPARTEMENT,TOTSI,550000.0,3.0,48.0,183333.0,11458.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé de 03 pièces à Bè kpota,LOCATION,APPARTEMENT MEUBLE,BE,550000.0,3.0,48.0,183333.0,11458.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces à Agoè minamadou,LOCATION,APPARTEMENT MEUBLE,AGOE,500000.0,4.0,64.0,125000.0,7812.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublés 3 pièces - Hedranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,500000.0,3.0,48.0,166667.0,10417.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Pharmacie Hedzanawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,500000.0,3.0,48.0,166667.0,10417.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements 2 pièces - Adidoadin,LOCATION,APPARTEMENT,ADIDOADIN,500000.0,2.0,32.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 03 pièces Avénou,LOCATION,APPARTEMENT,AVENOU,500000.0,3.0,48.0,166667.0,10417.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement deux chambres salon à la Caisse,LOCATION,APPARTEMENT,CITE OUA,500000.0,3.0,48.0,166667.0,10417.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 02 pièces agoe minamadou,LOCATION,APPARTEMENT MEUBLE,MINAMADOU,500000.0,2.0,32.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Avenou,LOCATION,APPARTEMENT MEUBLE,AVENOU,500000.0,2.0,32.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 chambres salon - Kegue bouli com,LOCATION,APPARTEMENT MEUBLE,KEGUE BOULI COM,500000.0,2.0,32.0,250000.0,15625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 3 pièces - Agoe Minamadou,LOCATION,APPARTEMENT,MINAMADOU,500000.0,3.0,48.0,166667.0,10417.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meuble - Assiyeye,LOCATION,APPARTEMENT MEUBLE,ASSIYEYE,500000.0,5.0,99.0,100000.0,5051.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Bé rue de locame,LOCATION,APPARTEMENT MEUBLE,BE RUE DE LOCAME,450000.0,3.0,48.0,150000.0,9375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Hedranawoé,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,450000.0,2.0,32.0,225000.0,14062.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces a Hedranawoé,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,450000.0,3.0,48.0,150000.0,9375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements 1 pièces - lomé,LOCATION,APPARTEMENT,LOME,450000.0,1.0,16.0,450000.0,28125.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location apparemment de 02 pièces - Lomé cité renaissance,LOCATION,APPARTEMENT,LOME,450000.0,2.0,32.0,225000.0,14062.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements 4 pièces - Avénou,LOCATION,APPARTEMENT,AVENOU,450000.0,4.0,64.0,112500.0,7031.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublés piscine 4 pièces - Amadahome,LOCATION,APPARTEMENT MEUBLE,AMADAHOME,450000.0,4.0,64.0,112500.0,7031.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement duplex - Adidogomé Madiba,LOCATION,APPARTEMENT,ADIDOGOME,450000.0,5.0,80.0,90000.0,5625.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Djidjolé Lomé,LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,450000.0,5.0,96.0,90000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Djidjolé,LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,450000.0,5.0,96.0,90000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Minamadou,LOCATION,APPARTEMENT MEUBLE,MINAMADOU,450000.0,3.0,48.0,150000.0,9375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Forever,LOCATION,APPARTEMENT MEUBLE,FOREVER,450000.0,5.0,96.0,90000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Lomé,LOCATION,APPARTEMENT MEUBLE,LOME,450000.0,5.0,96.0,90000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Agoè Demakpoe,LOCATION,APPARTEMENT MEUBLE,AGOE,400000.0,3.0,48.0,133333.0,8333.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meuble a Agoè boisson,LOCATION,APPARTEMENT MEUBLE,AGOE,400000.0,5.0,93.0,80000.0,4301.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces à Ablogamé hôtel la paix,LOCATION,APPARTEMENT MEUBLE,ABLOGAME,400000.0,3.0,48.0,133333.0,8333.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements de 02 pièces - Lomé aéroport,LOCATION,APPARTEMENT,HEDZRANAWOE AEROPORT,400000.0,2.0,32.0,200000.0,12500.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé de 2 chambres salon à Koffi Panou,LOCATION,APPARTEMENT MEUBLE,KOFFI PANOU,400000.0,2.0,32.0,200000.0,12500.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 2 chambre salon à Ablogamer,LOCATION,APPARTEMENT,ABLOGAME,400000.0,2.0,32.0,200000.0,12500.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements haut standing meublée de chambre salon à Amadahome cap,LOCATION,APPARTEMENT MEUBLE,AMADAHOME CAP,400000.0,5.0,93.0,80000.0,4301.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé chambre salon à Adidogomé,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,350000.0,2.0,17.0,175000.0,20588.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces à Totsi,LOCATION,APPARTEMENT MEUBLE,TOTSI,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location meublé 3 pièces à Adidogomé,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 3 pièces à Togo 2000,LOCATION,APPARTEMENT,TOGO 2000,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublés 2 pièces - Meche Amina,LOCATION,APPARTEMENT MEUBLE,MECHE AMINA,350000.0,2.0,32.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublés piscine 3 pièces - amadahome,LOCATION,APPARTEMENT MEUBLE,AMADAHOME,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublés 3 pièces - Hédzranawoé,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 4 pièces à Hedranawoé aéroport,LOCATION,APPARTEMENT,HEDZRANAWOE AEROPORT,350000.0,4.0,64.0,87500.0,5469.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 3 pièces - Agoe demakpoe,LOCATION,APPARTEMENT MEUBLE,DEMAKPOE,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements 2 pièces - Adidoadin,LOCATION,APPARTEMENT,ADIDOADIN,350000.0,2.0,32.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublés 2 pièces à Avenou,LOCATION,APPARTEMENT MEUBLE,AVENOU,350000.0,2.0,32.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublés 3 pièces à Avedji Limous,LOCATION,APPARTEMENT MEUBLE,AVEDJI LIMOUS,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 4 chambres salon à Djidjolé donou au bord du goudron,LOCATION,APPARTEMENT,DJIDJOLE,350000.0,4.0,64.0,87500.0,5469.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée de chambre salon bon standing Tokoin ramco,LOCATION,APPARTEMENT MEUBLE,TOKOIN,350000.0,2.0,17.0,175000.0,20588.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée chambre salon bon standing à Tokoin Ramco*,LOCATION,APPARTEMENT MEUBLE,TOKOIN,350000.0,2.0,17.0,175000.0,20588.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Forever,LOCATION,APPARTEMENT MEUBLE,FOREVER,350000.0,3.0,48.0,116667.0,7292.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces à Decon centre ville lomé,LOCATION,APPARTEMENT MEUBLE,CENTRE VILLE,350000.0,4.0,64.0,87500.0,5469.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Adidogomé,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,350000.0,5.0,89.0,70000.0,3933.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Avedji,LOCATION,APPARTEMENT MEUBLE,AVEDJI,350000.0,5.0,89.0,70000.0,3933.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé à Tosti Blimkome à 150m du goudron,LOCATION,APPARTEMENT MEUBLE,TOTSI,350000.0,5.0,89.0,70000.0,3933.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,"Location appartement 4 pièces à tokoin doumassesse (lomé) mois : 350 000 f avance : 3 mois | caution : 6 mois ➡️ un appartement de standing hôtelier situé à l’étage, dans un envir",LOCATION,APPARTEMENT,TOKOIN,350000.0,4.0,64.0,87500.0,5469.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
TOGO IMMOBILIER,Location appartements 3 pièces - Adetikopé,LOCATION,APPARTEMENT,ADETIKOPE,350000.0,3.0,600.0,116667.0,583.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Hedjranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000.0,2.0,32.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Hedranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000.0,2.0,32.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements 3 pièces à Tokoin Wuiti,LOCATION,APPARTEMENT,TOKOIN,340000.0,3.0,48.0,113333.0,7083.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Agoe Bodjona,LOCATION,APPARTEMENT MEUBLE,BODJONA,320000.0,3.0,48.0,106667.0,6667.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement 4 pièces - Wuiti,LOCATION,APPARTEMENT,WUITI,300000.0,4.0,64.0,75000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé chambre salon à Djidjolé,LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,300000.0,2.0,16.0,150000.0,18750.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 2 pièces à Hedzranawoe,LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,300000.0,2.0,32.0,150000.0,9375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces à Tokoin franscicain,LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000.0,4.0,64.0,75000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces à Tokoin franciscain,LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000.0,4.0,64.0,75000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location Appartement 4 pièces - Wuiti,LOCATION,APPARTEMENT,WUITI,300000.0,4.0,64.0,75000.0,4688.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location meublé 3 pièces à Adidogomé,LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,300000.0,3.0,48.0,100000.0,6250.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartements meublés 2 pièces - Adidogome Amadahome,LOCATION,APPARTEMENT MEUBLE,AMADAHOME,300000.0,2.0,32.0,150000.0,9375.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
