Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source
IMMOASK,"appartement meublé,louer,lome,agoe",LOCATION,APPARTEMENT MEUBLE,AGOE,350000,2,80.0,175000.0,4375,immoask
IMMOASK,"villa meublée,louer,lome,lome madibar",LOCATION,VILLA MEUBLE,ADIDOGOME,650000,11,1200.0,59091.0,542,immoask
IMMOASK,"villa,vendre,lome,segbe",VENTE,VILLA,SEGBE,65000000,3,450.0,,144444,immoask
IMMOASK,"villa,louer,lome,gbegnedji",LOCATION,APPARTEMENT,GBEGNEDJI,80000,3,150.0,26667.0,533,immoask
IMMOASK,"villa,louer,lome,kagome",LOCATION,APPARTEMENT,KAGOME,100000,2,300.0,50000.0,333,immoask
IMMOASK,"villa,louer,lome,kagome",LOCATION,APPARTEMENT,KAGOME,100000,3,300.0,33333.0,333,immoask
IMMOASK,"villa,louer,lome, adidogome",LOCATION,APPARTEMENT,ADIDOGOME,350000,4,600.0,87500.0,583,immoask
IMMOASK,"appartement meublé,louer,lome,djidjole",LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,200000,1,45.0,200000.0,4444,immoask
IMMOASK,"villa meublée,louer,aneho,kpeme",LOCATION,VILLA MEUBLE,KPEME,700000,3,600.0,233333.0,1167,immoask
IMMOASK,"appartement meublé,louer,lome,djidjole",LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,550000,2,80.0,275000.0,6875,immoask
IMMOASK,"chambre salon,louer,lome,akodessewa",LOCATION,CHAMBRE,AKODESSEWA,50000,2,35.0,25000.0,1429,immoask
IMMOASK,"chambre salon,louer,lome,akodessewa",LOCATION,CHAMBRE,AKODESSEWA,60000,2,35.0,30000.0,1714,immoask
IMMOASK,"chambre salon,louer,lome,akodessewa",LOCATION,CHAMBRE,AKODESSEWA,60000,2,35.0,30000.0,1714,immoask
IMMOASK,"villa,louer,lome,baguida",LOCATION,APPARTEMENT,BAGUIDA,750000,4,10.0,187500.0,75000,immoask
IMMOASK,"appartement,louer,lome,amadahome",LOCATION,APPARTEMENT,ADIDOGOME,60000,2,55.0,30000.0,1091,immoask
IMMOASK,"appartement meublé,louer,lome,tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000,1,35.0,300000.0,8571,immoask
IMMOASK,"studio meublé,louer,lome, tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,350000,1,25.0,350000.0,14000,immoask
IMMOASK,"studio meublé,louer,lome, tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000,1,18.0,300000.0,16667,immoask
IMMOASK,"appartement meublé,louer,lome, tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,450000,2,100.0,225000.0,4500,immoask
IMMOASK,"appartement meublé,louer,lome,tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,350000,2,80.0,175000.0,4375,immoask
IMMOASK,"terrain,vendre,lome,hedzranawoe",VENTE,TERRAIN,HEDZRANAWOE,1050000000,,9000.0,,116667,immoask
IMMOASK,"terrain,vendre,lome,hedzranawoe",VENTE,TERRAIN,HEDZRANAWOE,560000000,,4200.0,,133333,immoask
IMMOASK,"terrain,vendre,lome,agoe",VENTE,TERRAIN,AGOE,7000000,,300.0,,23333,immoask
IMMOASK,"terrain,vendre,lome,zanguera",VENTE,TERRAIN,ZANGUERA,11000000,,600.0,,18333,immoask
IMMOASK,"terrain,vendre,lome,djagble",VENTE,TERRAIN,DJAGBLE,6000000,,300.0,,20000,immoask
IMMOASK,"villa,louer,lome,avenou",LOCATION,APPARTEMENT,AVENOU,350000,3,600.0,116667.0,583,immoask
IMMOASK,"villa,louer,lome,avenou",LOCATION,APPARTEMENT,AVENOU,350000,3,600.0,116667.0,583,immoask
IMMOASK,"villa,louer,lome,avenou",LOCATION,APPARTEMENT,AVENOU,350000,3,600.0,116667.0,583,immoask
IMMOASK,"immeuble commercial,louer,lome,assivito",LOCATION,APPARTEMENT MEUBLE,ASSIVITO,1200000,2,1000.0,600000.0,1200,immoask
IMMOASK,"studio meublé,louer,lome,assivito",LOCATION,APPARTEMENT MEUBLE,ASSIVITO,900000,2,18.0,450000.0,50000,immoask
IMMOASK,"appartement meublé,louer,lome,assivito",LOCATION,APPARTEMENT MEUBLE,ASSIVITO,1800000,2,35.0,900000.0,51429,immoask
IMMOASK,"appartement meublé,louer,lomé,adidogome",LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,350000,2,85.0,175000.0,4118,immoask
IMMOASK,"terrain,vendre,lome,djidjole",VENTE,TERRAIN,DJIDJOLE,40000000,,500.0,,80000,immoask
IMMOASK,"terrain,vendre,lome,djidjole",VENTE,TERRAIN,DJIDJOLE,40000000,,500.0,,80000,immoask
IMMOASK,"maison,louer,lome,djidjole",LOCATION,APPARTEMENT,DJIDJOLE,40000000,3,500.0,13333333.0,80000,immoask
IMMOASK,"villa,vendre,lome,agoe",VENTE,VILLA,AGOE,15000000,2,150.0,,100000,immoask
IMMOASK,"appartement meublé,louer,lome,agoe",LOCATION,APPARTEMENT MEUBLE,AGOE,400000,2,90.0,200000.0,4444,immoask
IMMOASK,"appartement,louer,lome,djidjole",LOCATION,APPARTEMENT,DJIDJOLE,150000,3,80.0,50000.0,1875,immoask
IMMOASK,"appartement meublé,louer,lome, cacaveli",LOCATION,APPARTEMENT MEUBLE,AGOE,300000,2,35.0,150000.0,8571,immoask
IMMOASK,"appartement meublé,louer,lome,cacaveli",LOCATION,APPARTEMENT MEUBLE,AGOE,400000,2,69.0,200000.0,5797,immoask
IMMOASK,"studio meublé,louer,lome,be",LOCATION,APPARTEMENT MEUBLE,BE,200000,2,20.0,100000.0,10000,immoask
IMMOASK,"appartement meublé,louer,lome,be",LOCATION,APPARTEMENT MEUBLE,BE,400000,2,65.0,200000.0,6154,immoask
IMMOASK,"villa meublée,louer,lome,kegue",LOCATION,VILLA MEUBLE,KEGUE,350000,3,250.0,116667.0,1400,immoask
IMMOASK,"villa meublée,louer,lome,adidogome",LOCATION,VILLA MEUBLE,ADIDOGOME,450000,3,250.0,150000.0,1800,immoask
IMMOASK,"villa meublée,louer,lome,kegue",LOCATION,VILLA MEUBLE,KEGUE,300000,3,120.0,100000.0,2500,immoask
IMMOASK,"villa meublée,louer,lome,hedzranawoe",LOCATION,VILLA MEUBLE,HEDZRANAWOE,400000,3,250.0,133333.0,1600,immoask
IMMOASK,"appartement meublé,louer,lome,adidogome",LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,230000,2,30.0,115000.0,7667,immoask
IMMOASK,"villa,vendre,lome,sito aeroport",VENTE,VILLA,CITO AEROPORT,100000000,3,600.0,,166667,immoask
IMMOASK,"villa meublée,louer,lome,totsi",LOCATION,VILLA MEUBLE,TOTSI,450000,3,150.0,150000.0,3000,immoask
IMMOASK,"terrain,vendre,lome,djagble",VENTE,TERRAIN,DJAGBLE,6000000,,600.0,,10000,immoask
IMMOASK,"villa,louer,lome,agoe",LOCATION,APPARTEMENT,AGOE,170000,3,300.0,56667.0,567,immoask
IMMOASK,"villa,louer,lome, agoe",LOCATION,APPARTEMENT,AGOE,200000,3,300.0,66667.0,667,immoask
IMMOASK,"terrain,vendre,lome,leo2000",VENTE,TERRAIN,LEO 2000,35000000,,600.0,,58333,immoask
IMMOASK,"appartement meublé,louer,lomé,djidjole",LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,200000,2,35.0,100000.0,5714,immoask
IMMOASK,"maison,vendre,lome,agoe",VENTE,MAISON,AGOE,40000000,3,310.0,,129032,immoask
IMMOASK,"terrain,vendre,lome,zanguera",VENTE,TERRAIN,ZANGUERA,7000000,,300.0,,23333,immoask
IMMOASK,"villa,louer,lome,leo2000",LOCATION,APPARTEMENT,LEO 2000,500000,3,400.0,166667.0,1250,immoask
IMMOASK,"villa,louer,lome,agoe",LOCATION,APPARTEMENT,AGOE,150000,3,200.0,50000.0,750,immoask
IMMOASK,"villa meublée,louer,lome,agoe",LOCATION,VILLA MEUBLE,AGOE,300000,3,200.0,100000.0,1500,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,30.0,25000.0,1667,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,70000,2,35.0,35000.0,2000,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,25.0,25000.0,2000,immoask
IMMOASK,"villa,louer,lome,adidogome",LOCATION,APPARTEMENT,ADIDOGOME,130000,3,300.0,43333.0,433,immoask
IMMOASK,"villa,louer,lome,sito aeroport",LOCATION,APPARTEMENT,CITO AEROPORT,300000,3,300.0,100000.0,1000,immoask
IMMOASK,"villa,louer,lome,kegue",LOCATION,APPARTEMENT,KEGUE,180000,3,200.0,60000.0,900,immoask
IMMOASK,"chambre,louer,lome,avepozo",LOCATION,CHAMBRE,AVEPOZO,150000,1,1200.0,150000.0,125,immoask
IMMOASK,"appartement meublé,louer,lome,tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000,2,65.0,150000.0,4615,immoask
IMMOASK,"appartement meublé,louer,lome,tokoin",LOCATION,APPARTEMENT MEUBLE,TOKOIN,300000,2,65.0,150000.0,4615,immoask
IMMOASK,"maison,vendre,lome, agbavi",VENTE,MAISON,AGBAVI,27000000,3,300.0,,90000,immoask
IMMOASK,"maison,vendre,lome, agbavi",VENTE,MAISON,AGBAVI,27000000,3,300.0,,90000,immoask
IMMOASK,"villa,vendre,lome,dague",VENTE,VILLA,DAGUE,15000000,2,300.0,,50000,immoask
IMMOASK,"villa,louer,lome,kagome",LOCATION,APPARTEMENT,KAGOME,100000,3,600.0,33333.0,167,immoask
IMMOASK,"maison,vendre,lome,avepozo",VENTE,MAISON,AVEPOZO,23000000,3,300.0,,76667,immoask
IMMOASK,"terrain,vendre,lome,ahanoukope",VENTE,TERRAIN,AHANOUKOPE,800000000,,1200.0,,666667,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,25.0,25000.0,2000,immoask
IMMOASK,"appartement,louer,lome,agoe",LOCATION,APPARTEMENT,AGOE,65000,2,65.0,32500.0,1000,immoask
IMMOASK,"appartement meublé,louer,lome,amadahome",LOCATION,APPARTEMENT MEUBLE,ADIDOGOME,200000,2,25.0,100000.0,8000,immoask
IMMOASK,"bureau,louer,lome,noukafou",LOCATION,BUREAU,NUKAFU,100000,5,120.0,20000.0,833,immoask
IMMOASK,"villa,vendre,lome,togo2000",VENTE,VILLA,TOGO 2000,32000000,3,300.0,,106667,immoask
IMMOASK,"appartement meublé,louer,lome,avedji",LOCATION,APPARTEMENT MEUBLE,AVEDJI,350000,2,120.0,175000.0,2917,immoask
IMMOASK,"villa,louer,lome,be kpota",LOCATION,APPARTEMENT,BE,250000,3,600.0,83333.0,417,immoask
IMMOASK,"appartement meublé,louer,lome,djidjole",LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,200000,2,25.0,100000.0,8000,immoask
